Date, Name, Value, ChangePer
10:22 AM EST 11/18/19, GOOGL, 1320.5663, -0.97%
10:24 AM EST 11/18/19, MSFT, 149.17, -0.53%
10:24 AM EST 11/18/19, AMZN, 1735.195, -0.25%
10:23 AM EST 11/18/19, GOOGL, 1320.42, -0.98%
10:25 AM EST 11/18/19, MSFT, 149.14, -0.55%
10:25 AM EST 11/18/19, AMZN, 1734.9915, -0.26%
10:25 AM EST 11/18/19, GOOGL, 1320.26, -1.00%
10:26 AM EST 11/18/19, MSFT, 149.16, -0.54%
10:26 AM EST 11/18/19, AMZN, 1734.1122, -0.31%
10:26 AM EST 11/18/19, GOOGL, 1320.4522, -0.98%
10:27 AM EST 11/18/19, MSFT, 149.20, -0.51%
10:27 AM EST 11/18/19, AMZN, 1734.903, -0.26%
10:27 AM EST 11/18/19, GOOGL, 1320.65, -0.97%
10:28 AM EST 11/18/19, MSFT, 149.125, -0.56%
10:28 AM EST 11/18/19, AMZN, 1734.43, -0.29%
10:28 AM EST 11/18/19, GOOGL, 1320.46, -0.98%
10:29 AM EST 11/18/19, MSFT, 149.145, -0.55%
10:29 AM EST 11/18/19, AMZN, 1733.975, -0.32%
10:29 AM EST 11/18/19, GOOGL, 1319.95, -1.02%
10:30 AM EST 11/18/19, MSFT, 149.17, -0.53%
10:30 AM EST 11/18/19, AMZN, 1735.31, -0.24%
10:30 AM EST 11/18/19, GOOGL, 1320.045, -1.01%
10:32 AM EST 11/18/19, MSFT, 149.1426, -0.55%
10:31 AM EST 11/18/19, AMZN, 1737.98, -0.09%
10:31 AM EST 11/18/19, GOOGL, 1321.61, -0.89%
10:33 AM EST 11/18/19, MSFT, 149.1211, -0.57%
10:33 AM EST 11/18/19, AMZN, 1739.56, 0.00%
10:33 AM EST 11/18/19, GOOGL, 1320.72, -0.96%
10:34 AM EST 11/18/19, MSFT, 149.11, -0.57%
10:34 AM EST 11/18/19, AMZN, 1740.00, 0.03%
10:34 AM EST 11/18/19, GOOGL, 1320.93, -0.95%
10:35 AM EST 11/18/19, MSFT, 149.17, -0.53%
10:35 AM EST 11/18/19, AMZN, 1741.5323, 0.12%
10:35 AM EST 11/18/19, GOOGL, 1321.14, -0.93%
10:36 AM EST 11/18/19, MSFT, 149.17, -0.53%
10:36 AM EST 11/18/19, AMZN, 1743.165, 0.21%
10:36 AM EST 11/18/19, GOOGL, 1320.96, -0.94%
10:37 AM EST 11/18/19, MSFT, 149.10, -0.58%
10:38 AM EST 11/18/19, AMZN, 1741.7195, 0.13%
10:37 AM EST 11/18/19, GOOGL, 1320.84, -0.95%
10:39 AM EST 11/18/19, MSFT, 149.05, -0.61%
10:39 AM EST 11/18/19, AMZN, 1741.4753, 0.11%
10:39 AM EST 11/18/19, GOOGL, 1320.0775, -1.01%
10:40 AM EST 11/18/19, MSFT, 149.17, -0.53%
10:40 AM EST 11/18/19, AMZN, 1742.41, 0.17%
10:39 AM EST 11/18/19, GOOGL, 1321.165, -0.93%
10:41 AM EST 11/18/19, MSFT, 149.188, -0.52%
10:41 AM EST 11/18/19, AMZN, 1743.50, 0.23%
10:41 AM EST 11/18/19, GOOGL, 1321.99, -0.87%
10:42 AM EST 11/18/19, MSFT, 149.29, -0.45%
10:42 AM EST 11/18/19, AMZN, 1742.5926, 0.18%
10:41 AM EST 11/18/19, GOOGL, 1321.88, -0.87%
10:43 AM EST 11/18/19, MSFT, 149.3302, -0.43%
10:43 AM EST 11/18/19, AMZN, 1743.458, 0.23%
10:43 AM EST 11/18/19, GOOGL, 1322.1625, -0.85%
10:44 AM EST 11/18/19, MSFT, 149.4105, -0.37%
10:44 AM EST 11/18/19, AMZN, 1745.1339, 0.32%
10:44 AM EST 11/18/19, GOOGL, 1322.90, -0.80%
10:46 AM EST 11/18/19, MSFT, 149.48, -0.33%
10:45 AM EST 11/18/19, AMZN, 1745.25, 0.33%
10:46 AM EST 11/18/19, GOOGL, 1322.375, -0.84%
10:47 AM EST 11/18/19, MSFT, 149.43, -0.36%
10:47 AM EST 11/18/19, AMZN, 1744.995, 0.32%
10:47 AM EST 11/18/19, GOOGL, 1322.705, -0.81%
10:48 AM EST 11/18/19, MSFT, 149.421, -0.37%
10:47 AM EST 11/18/19, AMZN, 1745.46, 0.34%
10:48 AM EST 11/18/19, GOOGL, 1321.425, -0.91%
10:49 AM EST 11/18/19, MSFT, 149.4362, -0.36%
10:49 AM EST 11/18/19, AMZN, 1745.3314, 0.34%
10:49 AM EST 11/18/19, GOOGL, 1321.93, -0.87%
10:50 AM EST 11/18/19, MSFT, 149.455, -0.34%
10:50 AM EST 11/18/19, AMZN, 1746.3756, 0.40%
10:50 AM EST 11/18/19, GOOGL, 1323.10, -0.78%
10:51 AM EST 11/18/19, MSFT, 149.48, -0.33%
10:51 AM EST 11/18/19, AMZN, 1747.38, 0.45%
10:51 AM EST 11/18/19, GOOGL, 1323.53, -0.75%
10:53 AM EST 11/18/19, MSFT, 149.45, -0.35%
10:53 AM EST 11/18/19, AMZN, 1747.50, 0.46%
10:53 AM EST 11/18/19, GOOGL, 1323.1629, -0.78%
10:54 AM EST 11/18/19, MSFT, 149.44, -0.35%
10:54 AM EST 11/18/19, AMZN, 1747.0916, 0.44%
10:53 AM EST 11/18/19, GOOGL, 1323.40, -0.76%
10:55 AM EST 11/18/19, MSFT, 149.455, -0.34%
10:55 AM EST 11/18/19, AMZN, 1747.19, 0.44%
10:55 AM EST 11/18/19, GOOGL, 1321.955, -0.87%
10:56 AM EST 11/18/19, MSFT, 149.4161, -0.37%
10:56 AM EST 11/18/19, AMZN, 1746.62, 0.41%
10:56 AM EST 11/18/19, GOOGL, 1321.515, -0.90%
10:57 AM EST 11/18/19, MSFT, 149.44, -0.35%
10:57 AM EST 11/18/19, AMZN, 1744.7152, 0.30%
10:57 AM EST 11/18/19, GOOGL, 1321.425, -0.91%
10:58 AM EST 11/18/19, MSFT, 149.44, -0.35%
